day,day_of_week,weekend,half_month,holiday,hour,负荷
8,1,False,1,2,6,106.23755000000003
8,1,False,1,2,7,95.02158
8,1,False,1,2,8,116.97833100000005
8,1,False,1,2,9,107.65206200000011
8,1,False,1,2,10,109.2443460000001
8,1,False,1,2,11,104.45260100000009
8,1,False,1,2,12,102.56951200000013
8,1,False,1,2,13,105.88613400000014
8,1,False,1,2,14,107.34219200000014
8,1,False,1,2,15,117.11452400000009
8,1,False,1,2,16,108.09079000000014
8,1,False,1,2,17,105.70922000000013
8,1,False,1,2,18,115.60908500000008
8,1,False,1,2,19,108.46011400000008
8,1,False,1,2,20,107.6774910000001
8,1,False,1,2,21,94.61082500000009
8,1,False,1,2,22,108.87015000000002
8,1,False,1,2,23,94.74450699999994
8,3,False,1,2,0,2550.9280100000065
8,3,False,1,2,1,87.19850400000004
8,3,False,1,2,2,88.52512000000004
8,3,False,1,2,3,92.41027400000009
8,3,False,1,2,4,86.268391
8,3,False,1,2,5,93.20351800000012
8,3,False,1,2,6,85.11015300000005
8,3,False,1,2,7,108.54952200000005
8,3,False,1,2,8,109.6811550000001
8,3,False,1,2,9,108.97945900000008
8,3,False,1,2,10,108.96288900000009
8,3,False,1,2,11,103.75229700000014
8,3,False,1,2,12,110.9128860000001
8,3,False,1,2,13,99.47447600000012
8,3,False,1,2,14,117.867961
8,3,False,1,2,15,106.98501400000018
8,3,False,1,2,16,113.8988210000001
8,3,False,1,2,17,109.90397500000009
8,3,False,1,2,18,117.98379300000015
8,3,False,1,2,19,99.16307200000014
8,3,False,1,2,20,110.8212270000001
8,3,False,1,2,21,107.69924600000006
8,3,False,1,2,22,96.75097800000003
8,3,False,1,2,23,99.07931700000006
8,6,True,1,2,0,2501.9136869999957
8,6,True,1,2,1,98.03282200000007
8,6,True,1,2,2,91.60534400000003
8,6,True,1,2,3,95.79015799999998
8,6,True,1,2,4,88.57002900000002
8,6,True,1,2,5,91.66407199999995
8,6,True,1,2,6,103.87812600000008
8,6,True,1,2,7,97.78755600000004
8,6,True,1,2,8,101.63627300000002
